"id","categorie","sous_section","nom","unite","stock_actuel","stock_minimum","statut","cree_par","date_creation","types_mouvements_autorises","longueur","largeur","est_template","actif","couleur"
"50","Outillage-Autres","Outils manuels","ARRACHE CLOUS","unité(s)","3","0","valide","3","""2025-10-18T12:14:40.019Z""","pret",,,"false","true",
"51","Outillage-Autres","Outils manuels","BROUETTE","unité(s)","3","0","valide","3","""2025-10-18T12:14:40.038Z""","pret",,,"false","true",
"52","Outillage-Autres","Outils manuels","BURIN","unité(s)","5","0","valide","3","""2025-10-18T12:14:40.061Z""","pret",,,"false","true",
"53","Outillage-Autres","Outils manuels","Cisaille de ferrailleur","unité(s)","2","0","valide","3","""2025-10-18T12:14:40.080Z""","pret",,,"false","true",
"54","Outillage-Autres","Outils manuels","CLE DE SERRAGE","unité(s)","3","0","valide","3","""2025-10-18T12:14:40.098Z""","pret",,,"false","true",
"55","Outillage-Autres","Outils manuels","DAMEUSE","mètre(s)","5","0","valide","3","""2025-10-18T12:14:40.115Z""","pret",,,"false","true",
"56","Outillage-Autres","Outils manuels","GRATTOIR","unité(s)","1","0","valide","3","""2025-10-18T12:14:40.136Z""","pret",,,"false","true",
"57","Outillage-Autres","Outils manuels","GRIFFE 14-12","unité(s)","1","0","valide","3","""2025-10-18T12:14:40.154Z""","pret",,,"false","true",
"58","Outillage-Autres","Outils manuels","GRIFFE 8-10","unité(s)","4","0","valide","3","""2025-10-18T12:14:40.171Z""","pret",,,"false","true",
"59","Outillage-Autres","Outils manuels","GRIFFE 8-6","unité(s)","2","0","valide","3","""2025-10-18T12:14:40.188Z""","pret",,,"false","true",
"60","Outillage-Autres","Outils manuels","KIT CLES A LAINE","unité(s)","1","0","valide","3","""2025-10-18T12:14:40.208Z""","pret",,,"false","true",
"61","Outillage-Autres","Outils manuels","KIT TOURNEVIS","unité(s)","1","0","valide","3","""2025-10-18T12:14:40.226Z""","pret",,,"false","true",
"62","Outillage-Autres","Outils manuels","LAME DE SCIE (PVC)","unité(s)","2","0","valide","3","""2025-10-18T12:14:40.244Z""","pret",,,"false","true",
"63","Outillage-Autres","Outils manuels","MANCHE PELLE","unité(s)","2","0","valide","3","""2025-10-18T12:14:40.261Z""","pret",,,"false","true",
"64","Outillage-Autres","Outils manuels","MANCHE PIOCHE","unité(s)","0","0","valide","3","""2025-10-18T12:14:40.278Z""","pret",,,"false","true",
"65","Outillage-Autres","Outils manuels","MARTEAU","unité(s)","4","0","valide","3","""2025-10-18T12:14:40.295Z""","pret",,,"false","true",
"66","Outillage-Autres","Outils manuels","PELLE","unité(s)","8","0","valide","3","""2025-10-18T12:14:40.312Z""","pret",,,"false","true",
"67","Outillage-Autres","Outils manuels","PELLE A CIMENT","unité(s)","0","0","valide","3","""2025-10-18T12:14:40.330Z""","pret",,,"false","true",
"68","Outillage-Autres","Outils manuels","PELLE A POUSSIERE","unité(s)","1","0","valide","3","""2025-10-18T12:14:40.349Z""","pret",,,"false","true",
"69","Outillage-Autres","Outils manuels","PELLE BECHE","unité(s)","0","0","valide","3","""2025-10-18T12:14:40.367Z""","pret",,,"false","true",
"70","Outillage-Autres","Outils manuels","PELLE JARDINAGE","unité(s)","10","0","valide","3","""2025-10-18T12:14:40.384Z""","pret",,,"false","true",
"71","Outillage-Autres","Outils manuels","PINCE A GAZ","unité(s)","0","0","valide","3","""2025-10-18T12:14:40.402Z""","pret",,,"false","true",
"72","Outillage-Autres","Outils manuels","PINCE UNIVERSELLE","unité(s)","4","0","valide","3","""2025-10-18T12:14:40.419Z""","pret",,,"false","true",
"73","Outillage-Autres","Outils manuels","PIOCHE","unité(s)","5","0","valide","3","""2025-10-18T12:14:40.437Z""","pret",,,"false","true",
"74","Outillage-Autres","Outils manuels","PORTE LAME (PVC)","unité(s)","2","0","valide","3","""2025-10-18T12:14:40.454Z""","pret",,,"false","true",
"75","Outillage-Autres","Outils manuels","RATEAU","unité(s)","3","0","valide","3","""2025-10-18T12:14:40.472Z""","pret",,,"false","true",
"76","Outillage-Autres","Outils manuels","SCIE A BOIS","unité(s)","3","0","valide","3","""2025-10-18T12:14:40.494Z""","pret",,,"false","true",
"77","Outillage-Autres","Outils manuels","SEAUX","unité(s)","22","0","valide","3","""2025-10-18T12:14:40.512Z""","pret",,,"false","true",
"78","Outillage-Autres","Outils manuels","SERRE-JOINT","unité(s)","0","0","valide","3","""2025-10-18T12:14:40.529Z""","pret",,,"false","true",
"79","Outillage-Autres","Outils manuels","TALOCHE","unité(s)","3","0","valide","3","""2025-10-18T12:14:40.546Z""","pret",,,"false","true",
"80","Outillage-Autres","Outils manuels","TENAILLES","unité(s)","4","0","valide","3","""2025-10-18T12:14:40.566Z""","pret",,,"false","true",
"81","Outillage-Autres","Mesure & traçage","CORDEAU","unité(s)","1","0","valide","3","""2025-10-18T12:14:40.584Z""","pret",,,"false","true",
