categorie,sous_section,nom,unite
Clôture,Tous,Bouteille dilluant,u
Clôture,Tous,Clôture 120,m
Clôture,Tous,Clôture 150,m
Clôture,Tous,Enfonce-piquet grillage,u
Clôture,Tous,Peinture anti-rouille,u
Clôture,Tous,Pinceau peinture,u
Clôture,Tous,Piquets 120,u
Clôture,Tous,Piquets 150,u
Clôture,Tous,Portail Cloture 120 (camion),u
Clôture,Tous,Portail Cloture 120 (piéton),u
Clôture,Tous,Portail Clôture 150 (piéton),u
Clôture,Tous,Poteaux de tension 120,u
Clôture,Tous,Poteaux de tension 120 (angle),u
Clôture,Tous,Poteaux de tension 150,u
Clôture,Tous,Poteaux de tension 150 (angle),u
Clôture,Tous,Tendeur clôture,u
EPI,Tous,Bottes maintenance (paire),u
EPI,Tous,CASQUE BLANC,u
EPI,Tous,CASQUE BLEU,u
EPI,Tous,Casques vert,u
EPI,Tous,Combinaison maintenance,u
EPI,Tous,Combinaison maintenance XXL,u
EPI,Tous,FOULARD,u
EPI,Tous,GILET JAUNE,u
EPI,Tous,Gilets sécurité (orange),u
EPI,Tous,PAIRE CHAUSSURES - 41,u
EPI,Tous,PAIRE CHAUSSURES - 42,u
EPI,Tous,PAIRE CHAUSSURES - 44,u
EPI,Tous,PAIRE CHAUSSURES - 45,u
EPI,Tous,PAIRE CHAUSSURES - 46,u
EPI,Tous,PAIRE GANTS,u
EPI,Tous,T-SHIRT,u
Electricité,Tous,BOITE DE LIAISON ETANCHE,u
Electricité,Tous,CABLE A05VVF 3 x 1.5mm,m
Electricité,Tous,CABLE H05VVF 3x2.5mm,m
Electricité,Tous,Coffret électrique PM,u
Electricité,Tous,Câble H05VVF 3x2.5 mm,Rouleau de 100m
Electricité,Tous,DISJONCTEUR MODULAIRE 10A,u
Electricité,Tous,DISJONCTEUR MODULAIRE 16A,u
Electricité,Tous,GAINE ANNELE - D 13,m
Electricité,Tous,GAINE ANNELE - D 32,m
Electricité,Tous,GAINE ANNELÉE - D15,m
Electricité,Tous,GAINE ANNELÉE - D20,m
Electricité,Tous,GAINE ANNELÉE - D25,Rouleau de 100m
Electricité,Tous,GAINE ANNELÉE - D25,m
Electricité,Tous,GAINE ANNELÉE - D32,Rouleau de 50m
Electricité,Tous,HORLOGE MODULAIRE ANALOGIQUE,u
